SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HTL139S,1.62,,,1.82,-,メサ形成 SiO2ドライエッチング寸法検査_HTL139S,メサ形成 SiO2ドライエッチング寸法検査_HTL139S,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,3/31/2021,HL13B4,1.37,,,1.47,-,メサ形成 SiO2ドライエッチング寸法検査_HL13B4,メサ形成 SiO2ドライエッチング寸法検査_HL13B4,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,4/1/2021,1/1/2100,HL13B4,1.72,,,1.82,-,メサ形成 SiO2ドライエッチング寸法検査_HL13B4,メサ形成 SiO2ドライエッチング寸法検査_HL13B4,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,4/30/2021,HL13B5,1.37,,,1.47,-,メサ形成 SiO2ドライエッチング寸法検査_HL13B5,メサ形成 SiO2ドライエッチング寸法検査_HL13B5,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,5/1/2021,1/1/2100,HL13B5,1.72,,,1.82,-,メサ形成 SiO2ドライエッチング寸法検査_HL13B5,メサ形成 SiO2ドライエッチング寸法検査_HL13B5,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL13B6,1.72,,,1.82,-,メサ形成 SiO2ドライエッチング寸法検査_HL13B6,メサ形成 SiO2ドライエッチング寸法検査_HL13B6,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL15B5,1.72,,,1.82,-,メサ形成 SiO2ドライエッチング寸法検査_HL15B5,メサ形成 SiO2ドライエッチング寸法検査_HL15B5,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HTL13B2,1.37,,,1.47,-,メサ形成 SiO2ドライエッチング寸法検査_HTL13B2,メサ形成 SiO2ドライエッチング寸法検査_HTL13B2,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HTL13D1,1.37,,,1.47,-,メサ形成 SiO2ドライエッチング寸法検査_HTL13D1,メサ形成 SiO2ドライエッチング寸法検査_HTL13D1,,OK
PIX-DML_SiN_Step,PIX1_STARTTIME,PIX1.Step_Ave,PIX1_STARTTIME,1/1/2010,1/1/2100,-,,,,115,-,PIX形成 PIXホトエッチ PIX1 - SiN段差(DML),PIX形成 PIXホトエッチ PIX1 - SiN段差(DML),,OK
